"A","ID","ID_PERSONA","M_ALTA","CENTRE_ELECCIONS","N_FORMACIONS","N_ASSESSORAMENTS","SLABORAL","BAIXA_AFILIACIO","NUM_AFILIACIO"
"1",962831.2,962831,2,0,0,2,5,0,2
"2",962831.2,962831,2,0,0,2,5,0,2
"3",962900.1,962900,2,0,0,1,1,0,1
"4",972508.1,972508,3,0,0,0,1,0,1
"5",973607.1,973607,2,1,0,0,1,0,1
"6",974384.3,974384,2,1,0,3,3,0,3
"7",974384.3,974384,2,1,0,3,3,0,3
"8",974384.3,974384,2,1,0,3,3,0,3
"9",975660.1,975660,3,0,0,0,1,0,1
"10",980713.1,980713,2,0,0,1,2,0,1
"11",998946.1,998946,3,1,0,1,1,0,1
"12",1007095.2,1007095,2,1,0,2,1,0,2
"13",1007095.2,1007095,2,1,0,2,1,0,2
"14",1010022.1,1010022,2,0,0,1,2,1,1
"15",1010956.1,1010956,2,0,0,0,1,0,1
"16",1018392.1,1018392,2,0,0,1,1,0,1
"17",1055498.1,1055498,3,1,0,1,1,0,1
"18",1069405.1,1069405,2,0,0,1,1,0,1
"19",1070642.1,1070642,2,0,0,0,1,0,1
"20",1089639.1,1089639,3,1,1,1,1,0,1
"21",1093595.2,1093595,3,0,0,0,3,0,2
"22",1093595.2,1093595,3,0,0,0,3,0,2
"23",1116711.1,1116711,3,0,0,0,1,0,1
"24",1129857.1,1129857,2,0,0,0,1,1,1
"25",1136248.1,1136248,3,0,0,1,1,0,1
"26",1148842.1,1148842,2,1,0,0,1,0,1
"27",1149131.1,1149131,3,1,0,0,1,0,1
"28",1155306.1,1155306,3,0,0,1,2,0,1
"29",1160518.1,1160518,2,0,0,0,6,0,1
"30",1165173.1,1165173,3,0,0,0,1,0,1
"31",1186771.1,1186771,3,0,1,1,1,0,1
"32",1191132.4,1191132,3,1,0,0,1,1,4
"33",1191132.4,1191132,3,1,0,0,1,1,4
"34",1191132.4,1191132,3,1,0,0,1,1,4
"35",1191132.4,1191132,3,1,0,0,1,1,4
"36",1196769.1,1196769,3,0,0,1,1,1,1
"37",1199447.2,1199447,2,1,0,0,5,0,2
"38",1199447.2,1199447,2,1,0,0,5,0,2
"39",1206746.1,1206746,3,1,0,0,1,1,1
"40",1208238.1,1208238,2,1,0,0,1,0,1
"41",1211418.1,1211418,3,0,0,1,1,1,1
"42",1213598.1,1213598,2,1,0,0,1,0,1
"43",1219247.1,1219247,2,0,0,0,1,1,1
"44",1237042.2,1237042,3,1,0,0,1,1,2
"45",1237042.2,1237042,3,1,0,0,1,1,2
"46",1241647.1,1241647,2,0,0,1,1,0,1
"47",1241832.2,1241832,3,1,0,0,1,0,2
"48",1241832.2,1241832,3,1,0,0,1,0,2
"49",1246791.1,1246791,2,0,0,1,1,0,1
"50",1249283.1,1249283,2,1,0,0,1,0,1
"51",1249286.1,1249286,2,0,0,0,1,0,1
"52",1251649.2,1251649,3,1,0,0,1,0,2
"53",1251649.2,1251649,3,1,0,0,1,0,2
"54",1253626.1,1253626,3,0,0,1,1,1,1
"55",1259007.2,1259007,3,0,0,2,1,0,2
"56",1259007.2,1259007,3,0,0,2,1,0,2
"57",1268701.2,1268701,3,0,0,0,5,0,2
"58",1268701.2,1268701,3,0,0,0,5,0,2
"59",1270874.1,1270874,2,1,0,0,1,0,1
"60",1271456.1,1271456,3,1,0,0,1,0,1
"61",1275751.1,1275751,3,1,0,0,1,0,1
"62",1276430.2,1276430,3,1,0,2,1,1,2
"63",1276430.2,1276430,3,1,0,2,1,1,2
"64",1287453.2,1287453,3,1,0,0,1,0,2
"65",1287453.2,1287453,3,1,0,0,1,0,2
"66",1300917.1,1300917,2,1,0,1,1,0,1
"67",1320599.1,1320599,2,0,0,1,1,0,1
"68",1324472.2,1324472,3,1,0,0,0,0,2
"69",1324472.2,1324472,3,1,0,0,0,0,2
"70",1331385.2,1331385,3,0,0,2,2,0,2
"71",1331385.2,1331385,3,0,0,2,2,0,2
"72",1332101.1,1332101,3,0,0,0,1,0,1
"73",1332906.1,1332906,2,1,0,0,2,0,1
"74",1338449.2,1338449,2,1,0,0,1,0,2
"75",1338449.2,1338449,2,1,0,0,1,0,2
"76",1356028.1,1356028,2,0,0,1,5,0,1
"77",1367626.1,1367626,2,0,1,0,1,1,1
"78",1371121.2,1371121,2,0,0,2,1,0,2
"79",1371121.2,1371121,2,0,0,2,1,0,2
"80",1374732.1,1374732,2,0,0,2,1,1,1
"81",1374732.1,1374732,2,0,0,2,1,1,1
"82",1379492.2,1379492,2,1,0,0,1,1,2
"83",1379492.2,1379492,2,1,0,0,1,1,2
"84",1382893.1,1382893,3,1,0,0,1,0,1
"85",1386331.2,1386331,3,1,0,0,1,0,2
"86",1386331.2,1386331,3,1,0,0,1,0,2
"87",1391253.1,1391253,3,1,0,0,1,0,1
"88",1391478.2,1391478,3,1,0,0,2,0,2
"89",1391478.2,1391478,3,1,0,0,2,0,2
