"A","ID_PERSONA","ID","M_ALTA","CENTRE_ELECCIONS","N_FORMACIONS","N_ASSESSORAMENTS","SLABORAL","BAIXA_AFILIACIO","NUM_AFILIACIO","EDAT"
"1",962831,962831.2,2,0,0,2,5,0,2,53
"2",962831,962831.2,2,0,0,2,5,0,2,53
"3",962900,962900.1,2,0,0,1,1,0,1,57
"4",972508,972508.1,3,0,0,0,1,0,1,48
"5",973607,973607.1,2,1,0,0,1,0,1,62
"6",974384,974384.3,2,1,0,3,3,0,3,62
"7",974384,974384.3,2,1,0,3,3,0,3,62
"8",974384,974384.3,2,1,0,3,3,0,3,62
"9",975660,975660.1,3,0,0,0,1,0,1,60
"10",980713,980713.1,2,0,0,1,2,0,1,57
"11",998946,998946.1,3,1,0,1,1,0,1,60
"12",1007095,1007095.2,2,1,0,2,1,0,2,61
"13",1007095,1007095.2,2,1,0,2,1,0,2,61
"14",1010022,1010022.1,2,0,0,1,2,1,1,59
"15",1010956,1010956.1,2,0,0,0,1,0,1,59
"16",1018392,1018392.1,2,0,0,1,1,0,1,58
"17",1055498,1055498.1,3,1,0,1,1,0,1,64
"18",1069405,1069405.1,2,0,0,1,1,0,1,60
"19",1070642,1070642.1,2,0,0,0,1,0,1,62
"20",1089639,1089639.1,3,1,1,1,1,0,1,63
"21",1093595,1093595.2,3,0,0,0,3,0,2,47
"22",1093595,1093595.2,3,0,0,0,3,0,2,47
"23",1116711,1116711.1,3,0,0,0,1,0,1,59
"24",1129857,1129857.1,2,0,0,0,1,1,1,44
"25",1136248,1136248.1,3,0,0,1,1,0,1,42
"26",1148842,1148842.1,2,1,0,0,1,0,1,44
"27",1149131,1149131.1,3,1,0,0,1,0,1,43
"28",1155306,1155306.1,3,0,0,1,2,0,1,51
"29",1160518,1160518.1,2,0,0,0,6,0,1,54
"30",1165173,1165173.1,3,0,0,0,1,0,1,56
"31",1186771,1186771.1,3,0,1,1,1,0,1,47
"32",1191132,1191132.4,3,1,0,0,1,1,4,36
"33",1191132,1191132.4,3,1,0,0,1,1,4,36
"34",1191132,1191132.4,3,1,0,0,1,1,4,36
"35",1191132,1191132.4,3,1,0,0,1,1,4,36
"36",1196769,1196769.1,3,0,0,1,1,1,1,43
"37",1199447,1199447.2,2,1,0,0,5,0,2,42
"38",1199447,1199447.2,2,1,0,0,5,0,2,42
"39",1206746,1206746.1,3,1,0,0,1,1,1,45
"40",1208238,1208238.1,2,1,0,0,1,0,1,51
"41",1211418,1211418.1,3,0,0,1,1,1,1,55
"42",1213598,1213598.1,2,1,0,0,1,0,1,54
"43",1219247,1219247.1,2,0,0,0,1,1,1,52
"44",1237042,1237042.2,3,1,0,0,1,1,2,54
"45",1237042,1237042.2,3,1,0,0,1,1,2,54
"46",1241647,1241647.1,2,0,0,1,1,0,1,54
"47",1241832,1241832.2,3,1,0,0,1,0,2,52
"48",1241832,1241832.2,3,1,0,0,1,0,2,52
"49",1246791,1246791.1,2,0,0,1,1,0,1,37
"50",1249283,1249283.1,2,1,0,0,1,0,1,45
"51",1249286,1249286.1,2,0,0,0,1,0,1,44
"52",1251649,1251649.2,3,1,0,0,1,0,2,53
"53",1251649,1251649.2,3,1,0,0,1,0,2,53
"54",1253626,1253626.1,3,0,0,1,1,1,1,54
"55",1259007,1259007.2,3,0,0,2,1,0,2,63
"56",1259007,1259007.2,3,0,0,2,1,0,2,63
"57",1268701,1268701.2,3,0,0,0,5,0,2,45
"58",1268701,1268701.2,3,0,0,0,5,0,2,45
"59",1270874,1270874.1,2,1,0,0,1,0,1,45
"60",1271456,1271456.1,3,1,0,0,1,0,1,45
"61",1275751,1275751.1,3,1,0,0,1,0,1,43
"62",1276430,1276430.2,3,1,0,2,1,1,2,46
"63",1276430,1276430.2,3,1,0,2,1,1,2,46
"64",1287453,1287453.2,3,1,0,0,1,0,2,39
"65",1287453,1287453.2,3,1,0,0,1,0,2,39
"66",1300917,1300917.1,2,1,0,1,1,0,1,58
"67",1320599,1320599.1,2,0,0,1,1,0,1,56
"68",1324472,1324472.2,3,1,0,0,0,0,2,56
"69",1324472,1324472.2,3,1,0,0,0,0,2,56
"70",1331385,1331385.2,3,0,0,2,2,0,2,55
"71",1331385,1331385.2,3,0,0,2,2,0,2,55
"72",1332101,1332101.1,3,0,0,0,1,0,1,41
"73",1332906,1332906.1,2,1,0,0,2,0,1,63
"74",1338449,1338449.2,2,1,0,0,1,0,2,62
"75",1338449,1338449.2,2,1,0,0,1,0,2,62
"76",1356028,1356028.1,2,0,0,1,5,0,1,61
"77",1367626,1367626.1,2,0,1,0,1,1,1,52
"78",1371121,1371121.2,2,0,0,2,1,0,2,37
"79",1371121,1371121.2,2,0,0,2,1,0,2,37
"80",1374732,1374732.1,2,0,0,2,1,1,1,59
"81",1374732,1374732.1,2,0,0,2,1,1,1,59
"82",1379492,1379492.2,2,1,0,0,1,1,2,53
"83",1379492,1379492.2,2,1,0,0,1,1,2,53
"84",1382893,1382893.1,3,1,0,0,1,0,1,48
"85",1386331,1386331.2,3,1,0,0,1,0,2,47
"86",1386331,1386331.2,3,1,0,0,1,0,2,47
"87",1391253,1391253.1,3,1,0,0,1,0,1,43
"88",1391478,1391478.2,3,1,0,0,2,0,2,52
"89",1391478,1391478.2,3,1,0,0,2,0,2,52
"90",1392729,1392729.2,2,1,0,0,1,0,2,50
"91",1392729,1392729.2,2,1,0,0,1,0,2,50
"92",1409342,1409342.2,3,1,0,0,5,0,2,59
"93",1409342,1409342.2,3,1,0,0,5,0,2,59
"94",1409949,1409949.1,2,0,0,1,6,1,1,47
"95",1421413,1421413.1,3,1,0,1,1,0,1,55
"96",1422842,1422842.1,2,1,0,0,1,0,1,54
"97",1424888,1424888.1,2,1,0,1,1,0,1,63
"98",1430706,1430706.1,3,1,0,1,1,0,1,48
"99",1443227,1443227.1,3,1,0,1,1,0,1,50
"100",1458840,1458840.1,3,1,0,1,1,0,1,48
"101",1462374,1462374.1,3,0,0,2,1,0,1,41
"102",1462374,1462374.1,3,0,0,2,1,0,1,41
"103",1466568,1466568.2,2,1,0,0,1,1,2,47
"104",1466568,1466568.2,2,1,0,0,1,1,2,47
"105",1474346,1474346.1,2,0,0,1,5,0,1,34
"106",1482025,1482025.1,2,0,0,1,5,0,1,49
"107",1482999,1482999.2,3,1,0,0,1,0,2,49
"108",1482999,1482999.2,3,1,0,0,1,0,2,49
"109",1484063,1484063.1,3,1,0,0,1,0,1,49
"110",1500275,1500275.2,3,1,0,0,3,0,2,34
"111",1500275,1500275.2,3,1,0,0,3,0,2,34
"112",1501866,1501866.2,3,0,0,2,1,0,2,44
"113",1501866,1501866.2,3,0,0,2,1,0,2,44
"114",1507409,1507409.2,2,0,0,3,1,0,2,51
"115",1507409,1507409.2,2,0,0,3,1,0,2,51
"116",1507409,1507409.2,2,0,0,3,1,0,2,51
"117",1509261,1509261.2,2,1,0,0,1,0,2,55
"118",1509261,1509261.2,2,1,0,0,1,0,2,55
"119",1520327,1520327.2,2,1,0,0,1,0,2,39
"120",1520327,1520327.2,2,1,0,0,1,0,2,39
"121",1522526,1522526.2,2,1,0,2,2,0,2,33
"122",1522526,1522526.2,2,1,0,2,2,0,2,33
"123",1531887,1531887.2,2,0,2,2,1,0,2,38
"124",1531887,1531887.2,2,0,2,2,1,0,2,38
"125",1533478,1533478.2,2,1,0,0,4,0,2,39
"126",1533478,1533478.2,2,1,0,0,4,0,2,39
"127",1537654,1537654.1,3,1,0,0,1,0,1,36
"128",1540273,1540273.1,3,1,0,1,1,0,1,54
"129",1548865,1548865.2,3,1,0,0,1,0,2,50
"130",1548865,1548865.2,3,1,0,0,1,0,2,50
"131",1550702,1550702.1,2,1,0,0,1,1,1,47
"132",1558745,1558745.3,2,0,0,3,1,0,3,53
"133",1558745,1558745.3,2,0,0,3,1,0,3,53
"134",1558745,1558745.3,2,0,0,3,1,0,3,53
"135",1560608,1560608.1,3,1,0,0,1,1,1,44
"136",1560608,1560608.1,3,1,0,0,1,1,1,44
"137",1562537,1562537.1,3,0,0,0,2,0,1,49
"138",1565450,1565450.1,3,1,0,1,0,0,1,61
"139",1567006,1567006.2,3,1,0,2,1,0,2,52
"140",1567006,1567006.2,3,1,0,2,1,0,2,52
"141",1576193,1576193.1,3,0,0,1,5,0,1,40
"142",1578557,1578557.1,2,1,0,0,1,1,1,58
"143",1582183,1582183.2,3,1,0,2,1,1,2,34
"144",1582183,1582183.2,3,1,0,2,1,1,2,34
"145",1595385,1595385.2,3,1,2,0,1,0,2,33
"146",1595385,1595385.2,3,1,2,0,1,0,2,33
"147",1605187,1605187.1,2,0,0,1,5,1,1,66
"148",1608144,1608144.1,3,1,0,1,3,1,1,50
"149",1608320,1608320.1,2,1,0,0,1,0,1,59
"150",1614586,1614586.4,2,0,0,0,5,0,4,53
"151",1614586,1614586.4,2,0,0,0,5,0,4,53
"152",1614586,1614586.4,2,0,0,0,5,0,4,53
"153",1614586,1614586.4,2,0,0,0,5,0,4,53
"154",1614586,1614586.4,2,0,0,0,5,0,4,53
"155",1641450,1641450.2,3,1,0,2,1,0,2,39
"156",1641450,1641450.2,3,1,0,2,1,0,2,39
"157",1650130,1650130.1,2,1,1,0,1,0,1,50
"158",1652420,1652420.1,3,1,0,1,1,0,1,38
"159",1656415,1656415.1,2,1,0,0,1,0,1,55
"160",1657015,1657015.1,2,0,0,1,1,0,1,50
"161",1662327,1662327.1,3,0,0,1,1,0,1,47
"162",1670310,1670310.1,3,0,0,1,5,0,1,36
"163",1673136,1673136.2,3,1,0,2,1,1,2,60
"164",1673136,1673136.2,3,1,0,2,1,1,2,60
